rating,review,displayName,displayImageUrl,isVerified,isSuperReviewer,hasSpoilers,hasProfanity,createDate,updateDate,user,score,timeFromCreation
STAR_5,"I loved every second of it! Your whole family will enjoy. My boyfriend and I are just getting into the Star Wars saga. I’ve seen most, but even so, we were able to keep up and enjoy from start to finish. I definitely cried in certain parts of the movie, and laughed a lot too!!!",Ana,,True,False,False,False,2019-12-31T20:46:25.785Z,2019-12-31T20:46:25.785Z,"{'userId': '4358D69E-C41E-4C6E-84E4-5C9EAD52BAE0', 'realm': 'Fandango', 'displayName': 'Ana', 'accountLink': None}",5,58m ago
STAR_5,Such an amazing end to the saga!! I absolutely loved this movie!!!!!,MCKENNA,,False,False,False,False,2019-12-31T20:46:07.395Z,2019-12-31T20:46:07.395Z,"{'userId': '89ED17CC-FB13-4390-BE58-CED518E05B79', 'realm': 'Fandango', 'displayName': 'MCKENNA', 'accountLink': None}",5,58m ago
STAR_4_5,Very good conclusion to Star Wars!!!,Elliott S,,False,False,False,False,2019-12-31T20:45:10.551Z,2019-12-31T20:45:10.551Z,"{'userId': '977941149', 'realm': 'RT', 'displayName': 'Elliott S', 'accountLink': '/user/id/977941149'}",4.5,59m ago
STAR_5,Loved it! Awesome conclusion.,Tyrone,,True,False,False,False,2019-12-31T20:42:51.963Z,2019-12-31T20:42:51.963Z,"{'userId': '1113D462-38A1-4D2A-8D6B-6A7E83EF6E72', 'realm': 'Fandango', 'displayName': 'Tyrone', 'accountLink': None}",5,1h ago
STAR_2,Not great. I hope this is the last one. Didn’t care for the one before either. I was with two teenagers who didn’t care for it either,Jan M,,False,False,False,False,2019-12-31T20:39:12.149Z,2019-12-31T20:39:12.149Z,"{'userId': 'FCA77CBC-4064-4BA9-A0B2-F222B0943F19', 'realm': 'Fandango', 'displayName': 'Jan M', 'accountLink': None}",2,1h ago
STAR_3_5,"Very action oriented and fast paced. I disliked TLJ but this did the best it could to pick up the pieces and deliver a decent Star Wars film. Not the worst way to end the saga, but did have a few missteps along the way.",Steve M,,True,False,False,False,2019-12-31T20:37:51.674Z,2019-12-31T20:37:51.674Z,"{'userId': '92F0326A-461E-4506-A930-53DCC3F55859', 'realm': 'Fandango', 'displayName': 'Steve M', 'accountLink': None}",3.5,1h ago
STAR_5,Best of the trilogy. Awesome movie and awesome ending!,Mike S,https://graph.facebook.com/v3.3/632391706/picture,False,False,False,False,2019-12-31T20:36:38.220Z,2019-12-31T20:36:41.624Z,"{'userId': '790800939', 'realm': 'RT', 'displayName': 'Mike S', 'accountLink': '/user/id/790800939'}",5,1h ago
STAR_5,This movie ties up the skywalker saga completely and brings an end to the galactic war.,lgxstarburst,,True,False,False,False,2019-12-31T20:35:39.896Z,2019-12-31T20:35:39.896Z,"{'userId': 'B621F0F1-8ECC-49DB-AB62-4BBF8FA18C2F', 'realm': 'Fandango', 'displayName': 'lgxstarburst', 'accountLink': None}",5,1h ago
STAR_5,The best movie !!!!!,Juan J,https://graph.facebook.com/v3.3/10221854962034040/picture,False,False,False,False,2019-12-31T20:32:39.397Z,2019-12-31T20:32:47.449Z,"{'userId': '978494878', 'realm': 'RT', 'displayName': 'Juan J', 'accountLink': '/user/id/978494878'}",5,1h ago
STAR_1,"O filme vai contra princípios estabelecidos por George Lucas, além de ser previsível e com muita fã service, não explora o novo, roteiro não encaixa com os dois anteriores",Manoel P,https://graph.facebook.com/v3.3/2313258842113364/picture,False,False,False,False,2019-12-31T20:32:04.683Z,2019-12-31T20:32:18.376Z,"{'userId': '978457703', 'realm': 'RT', 'displayName': 'Manoel P', 'accountLink': '/user/id/978457703'}",1,1h ago
